name,category,description,quantity,weight,productionDate,expirationDate,batchNumber,variety,farmName,farmLocation,temperature,humidity,certifications,allergens
"Cerezas Picota","FRUITS","Cerezas picota del Jerte, sin rabo",60,"15kg","2024-06-15","2024-07-15","BATCH-2024-166","Picota","Cerezos del Valle","Valle del Jerte, Cáceres",2,85,"Orgánico,DOP Cereza del Jerte",""
"Espinacas Baby","VEGETABLES","Espinacas tiernas para ensaladas gourmet",80,"16kg","2025-01-05","2025-01-12","BATCH-2025-009","Baby Leaf","Verduras Premium","Barcelona, Cataluña",4,90,"Orgánico,BRC",""
"Melón Piel de Sapo","FRUITS","Melón tradicional español, muy dulce",50,"75kg","2024-07-10","2024-08-10","BATCH-2024-191","Piel de Sapo","Melonares Castilla","Ciudad Real, Castilla-La Mancha",12,75,"GlobalGAP,HACCP",""
"Judías Verdes","VEGETABLES","Judías verdes tiernas, cosechadas a mano",120,"24kg","2025-01-06","2025-01-20","BATCH-2025-010","Perona","Campo Fresco","Pontevedra, Galicia",6,85,"Sin Pesticidas,Orgánico",""
"Peras Conference","FRUITS","Peras dulces y jugosas, ideales para postre",180,"54kg","2024-09-01","2025-01-30","BATCH-2024-244","Conference","Frutales del Norte","Lleida, Cataluña",4,80,"Fair Trade,GlobalGAP",""
"Apio Fresco","VEGETABLES","Apio fresco y crujiente, rico en fibra",90,"27kg","2025-01-07","2025-02-07","BATCH-2025-011","Utah","Verduras del Campo","Sevilla, Andalucía",4,85,"HACCP,BRC",""
"Limones Verna","FRUITS","Limones españoles, ácidos y aromáticos",200,"40kg","2024-11-01","2025-02-28","BATCH-2024-305","Verna","Cítricos del Sur","Málaga, Andalucía",8,75,"Orgánico,Fair Trade",""
"Coliflor Blanca","VEGETABLES","Coliflor fresca, perfecta para gratinar",60,"30kg","2025-01-08","2025-01-29","BATCH-2025-012","Snowball","Huertos del Centro","Toledo, Castilla-La Mancha",4,90,"GlobalGAP,Sin Pesticidas",""
"Kiwis Hayward","FRUITS","Kiwis verdes, ricos en vitamina C",100,"25kg","2024-10-15","2025-02-15","BATCH-2024-288","Hayward","Kiwi Galicia","Pontevedra, Galicia",2,85,"Orgánico,Rainforest Alliance",""
"Acelgas Frescas","VEGETABLES","Acelgas de hoja verde, ricas en hierro",80,"20kg","2025-01-09","2025-01-23","BATCH-2025-013","Bright Lights","Verde Salud","Murcia, España",4,88,"Sin Pesticidas,HACCP",""
"Mandarinas Clemenvilla","FRUITS","Mandarinas dulces sin pepitas",250,"62.5kg","2024-12-01","2025-02-01","BATCH-2024-335","Clemenvilla","Cítricos Valencia","Valencia, España",8,75,"Fair Trade,GlobalGAP",""
"Rábanos Rojos","VEGETABLES","Rábanos picantes, perfectos para ensaladas",150,"15kg","2025-01-10","2025-01-31","BATCH-2025-014","Cherry Belle","Raíces Frescas","Ávila, Castilla y León",4,90,"Orgánico,BRC",""
"Sandía Rayada","FRUITS","Sandía grande y dulce, perfecta para verano",30,"150kg","2024-07-15","2024-08-15","BATCH-2024-196","Crimson Sweet","Sandías Andaluzas","Almería, Andalucía",12,70,"HACCP,GlobalGAP",""
"Berenjenas Moradas","VEGETABLES","Berenjenas frescas, ideales para asados",100,"40kg","2025-01-11","2025-02-01","BATCH-2025-015","Black Beauty","Huerta Tradicional","Valencia, España",10,80,"Sin Pesticidas,Orgánico",""
"Moras Silvestres","FRUITS","Moras dulces recolectadas artesanalmente",40,"8kg","2024-08-01","2024-08-15","BATCH-2024-213","Silvestre","Bosques del Norte","Asturias, España",2,95,"Orgánico,Silvestre",""
"Cebolletas Tiernas","VEGETABLES","Cebolletas frescas con parte verde",120,"18kg","2025-01-12","2025-02-12","BATCH-2025-016","White Lisbon","Campo Verde","Zamora, Castilla y León",4,85,"GlobalGAP,HACCP",""
"Aguacates Hass","FRUITS","Aguacates cremosos, perfectos para guacamole",80,"24kg","2024-11-15","2025-01-15","BATCH-2024-319","Hass","Aguacates Canarios","Gran Canaria, Canarias",12,75,"Rainforest Alliance,Fair Trade",""
"Coles de Bruselas","VEGETABLES","Coles de Bruselas frescas, ricas en vitaminas",90,"18kg","2025-01-13","2025-02-13","BATCH-2025-017","Long Island","Brassicas del Norte","Burgos, Castilla y León",2,90,"Sin Pesticidas,Orgánico",""
"Granadas Mollar","FRUITS","Granadas dulces, ricas en antioxidantes",70,"21kg","2024-10-01","2025-01-01","BATCH-2024-274","Mollar","Granada Fruit","Granada, Andalucía",8,70,"Fair Trade,GlobalGAP",""
"Puerros Frescos","VEGETABLES","Puerros tiernos, perfectos para sopas",100,"30kg","2025-01-14","2025-03-14","BATCH-2025-018","Giant Musselburgh","Verduras del Campo","Lugo, Galicia",4,85,"HACCP,BRC",""
"Arándanos Azules","FRUITS","Arándanos frescos, superalimento natural",50,"5kg","2024-07-01","2024-07-21","BATCH-2024-182","Duke","Berries del Norte","Asturias, España",2,95,"Orgánico,Sin Pesticidas",""
"Calabaza Butternut","VEGETABLES","Calabaza dulce, perfecta para cremas",60,"90kg","2024-10-01","2025-03-01","BATCH-2024-274","Butternut","Calabazas Tradicionales","Cuenca, Castilla-La Mancha",12,75,"GlobalGAP,HACCP",""
"Frambuesas Rojas","FRUITS","Frambuesas dulces y delicadas",30,"3kg","2024-06-15","2024-06-25","BATCH-2024-166","Heritage","Frutos Rojos","Cantabria, España",2,95,"Orgánico,Rainforest Alliance",""
"Maíz Dulce","VEGETABLES","Mazorcas de maíz dulce, recién cosechadas",200,"60kg","2024-08-15","2024-09-15","BATCH-2024-227","Golden Bantam","Maízales Dorados","Lleida, Cataluña",8,80,"Sin Pesticidas,GlobalGAP",""
"Pomelos Rojos","FRUITS","Pomelos rojos, refrescantes y vitamínicos",120,"60kg","2024-12-01","2025-03-01","BATCH-2024-335","Ruby Red","Cítricos Premium","Murcia, España",8,75,"Fair Trade,Orgánico",""
"Hinojo Fresco","VEGETABLES","Hinojo dulce, perfecto para ensaladas",80,"20kg","2025-01-15","2025-02-15","BATCH-2025-019","Florence","Aromáticas del Sur","Córdoba, Andalucía",4,85,"HACCP,Sin Pesticidas",""
"Nísperos","FRUITS","Nísperos dulces de temporada primaveral",60,"12kg","2024-04-15","2024-05-15","BATCH-2024-105","Tanaka","Frutales Levantinos","Alicante, Valencia",8,80,"Orgánico,GlobalGAP",""
"Remolacha Roja","VEGETABLES","Remolacha fresca, rica en folatos",90,"27kg","2025-01-16","2025-03-16","BATCH-2025-020","Detroit Dark Red","Raíces Nutritivas","Valladolid, Castilla y León",4,85,"BRC,HACCP",""
"Caquis Persimon","FRUITS","Caquis dulces sin astringencia",100,"40kg","2024-11-01","2024-12-31","BATCH-2024-305","Rojo Brillante","Persimon Valencia","Valencia, España",8,75,"Fair Trade,Rainforest Alliance",""
"Endivias Belgas","VEGETABLES","Endivias blancas, amargas y crujientes",70,"14kg","2025-01-17","2025-02-07","BATCH-2025-021","Witloof","Especialidades Verdes","Madrid, España",2,90,"Orgánico,Sin Pesticidas",""
"Chirimoya Fino de Jete","FRUITS","Chirimoyas cremosas y dulces",50,"25kg","2024-11-15","2024-12-15","BATCH-2024-319","Fino de Jete","Tropicales del Sur","Granada, Andalucía",12,75,"DOP Chirimoya Costa Tropical,Orgánico",""
"Alcachofas Tudela","VEGETABLES","Alcachofas tiernas de Tudela",80,"20kg","2025-01-18","2025-02-18","BATCH-2025-022","Blanca de Tudela","Alcachofas Navarras","Tudela, Navarra",4,85,"IGP Alcachofa de Tudela,GlobalGAP",""
"Higos Negros","FRUITS","Higos maduros y dulces",40,"8kg","2024-08-01","2024-08-21","BATCH-2024-213","Cuello de Dama Negro","Higueras Tradicionales","Extremadura, España",8,80,"Orgánico,Fair Trade",""
"Cardo Rojo","VEGETABLES","Cardo rojo, tradicional de invierno",60,"30kg","2025-01-19","2025-02-19","BATCH-2025-023","Rojo de Aragón","Cardos Aragoneses","Zaragoza, Aragón",4,85,"HACCP,Sin Pesticidas",""
"Papaya Canaria","FRUITS","Papaya tropical cultivada en Canarias",30,"15kg","2024-12-01","2025-01-01","BATCH-2024-335","Solo","Tropicales Canarios","La Palma, Canarias",16,75,"Rainforest Alliance,Orgánico",""
"Grelos Gallegos","VEGETABLES","Grelos tiernos, típicos de Galicia",100,"15kg","2025-01-20","2025-02-03","BATCH-2025-024","Nabicol","Verduras Gallegas","A Coruña, Galicia",4,90,"Sin Pesticidas,Tradición Gallega",""
"Physalis Dorados","FRUITS","Physalis dulces en su capullo natural",25,"2.5kg","2024-09-01","2024-10-01","BATCH-2024-244","Golden","Exóticos Ibéricos","Huelva, Andalucía",8,80,"Orgánico,Gourmet",""
"Romanesco Verde","VEGETABLES","Romanesco fractal, híbrido coliflor-brócoli",50,"25kg","2025-01-21","2025-02-11","BATCH-2025-025","Veronica","Especialidades Italianas","Girona, Cataluña",4,90,"GlobalGAP,Orgánico",""
"Mangos Kent","FRUITS","Mangos tropicales dulces y carnosos",40,"20kg","2024-10-15","2024-11-15","BATCH-2024-288","Kent","Mangos de Málaga","Málaga, Andalucía",16,75,"Fair Trade,Rainforest Alliance",""
